evt,min,loc_err_h,loc_err_z,loc_err_resid,loc_num_st,loc_min_dist,loc_avg_dist,loc_stdev_dist,loc_azim_gap_1,loc_azim_gap_2,mag,mag_err,mag_num_st
22351331,6,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,7,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,8,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,9,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,10,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,11,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,12,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,13,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,14,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,15,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,16,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
23501111,1,14.8598,16.6681,1.45524,14,1001.8474737,3063.15289869,1245.25144414,75.3462,114.366,5.44589,0.084735,5
23501111,2,14.8545,16.4032,1.43162,15,1001.8474737,3279.52184551,1450.06610583,75.3462,101.311,5.55525,0.102245,7
23501111,3,18.218,16.6252,2.29417,32,1057.3357313,4727.47832957,1667.49543961,88.2092,91.7124,5.55977,0.099795,7
23501111,4,18.6328,16.6991,1.97212,35,1052.891467,5059.756545,1827.98310091,77.7101,99.3376,5.55927,0.099785,7
23501111,5,18.3717,16.6515,1.97792,42,1054.3725178,5725.2708413,2251.92842269,77.7366,99.3751,5.55944,0.09979,7
23501111,6,18.5462,16.4128,2.22757,48,1057.3357313,6114.95629324,2455.9898272,75.9025,79.6104,5.55977,0.099795,7
23501111,7,18.5462,16.4128,2.215,50,1057.3357313,6114.95629324,2455.9898272,75.9025,79.6104,5.55977,0.099795,7
23501111,8,18.5462,16.4128,2.215,50,1057.3357313,6114.95629324,2455.9898272,75.9025,79.6104,5.55977,0.099795,7
23501111,9,18.5462,16.4128,2.215,50,1057.3357313,6114.95629324,2455.9898272,75.9025,79.6104,5.55977,0.099795,7
23501111,10,18.5462,16.4128,2.25271,51,1057.3357313,6114.95629324,2455.9898272,75.9025,79.6104,5.52581,0.122465,8
23501111,11,18.3625,16.8708,2.25582,53,1057.3357313,6520.56482787,2934.6201698,75.9025,79.6104,5.52581,0.122465,8
23501111,12,18.3625,16.8708,2.25101,57,1057.3357313,6520.56482787,2934.6201698,75.9025,79.6104,5.52581,0.122465,8
23501111,13,18.3625,16.8708,2.25101,57,1057.3357313,6520.56482787,2934.6201698,75.9025,79.6104,5.52581,0.122465,8
23501111,14,18.3625,16.8708,2.25101,57,1057.3357313,6520.56482787,2934.6201698,75.9025,79.6104,5.52581,0.122465,8
23501111,15,18.3625,16.8708,2.25101,57,1057.3357313,6520.56482787,2934.6201698,75.9025,79.6104,5.52581,0.122465,8
23501111,16,18.3625,16.8708,2.21866,55,1057.3357313,6336.16709905,2761.84324594,75.9025,79.6104,5.52581,0.122465,8
23501901,1,14.3318,15.4274,2.02572,18,1052.891467,3965.82114267,1505.42240308,136.275,144.811,5.30575,0.20358,7
23501901,2,16.3278,14.0465,1.93233,27,1054.3725178,4831.73105807,1747.51425525,136.267,144.796,5.30575,0.20366,7
23501901,3,17.2856,14.2293,1.83231,37,1055.8546805,5420.28606307,1811.72845899,99.2987,107.608,5.30575,0.203735,7
23501901,4,17.2474,14.251,1.80238,41,1055.8546805,5701.65004191,1938.71202984,99.2987,107.608,5.30575,0.203735,7
23501901,5,17.1663,14.2461,1.78014,45,1055.8546805,6052.88474599,2166.76285277,98.2433,99.2987,5.30575,0.203735,7
23501901,6,17.1663,14.2461,1.77356,46,1055.8546805,6052.88474599,2166.76285277,98.2433,99.2987,5.30575,0.203735,7
23501901,7,17.1663,14.2461,1.77356,46,1055.8546805,6052.88474599,2166.76285277,98.2433,99.2987,5.30575,0.203735,7
23501901,8,17.1663,14.2461,1.77356,46,1055.8546805,6052.88474599,2166.76285277,98.2433,99.2987,5.30575,0.203735,7
23501901,9,17.1663,14.2461,1.77356,46,1055.8546805,6052.88474599,2166.76285277,98.2433,99.2987,5.30575,0.203735,7
23501901,10,17.1663,14.2461,1.77356,46,1055.8546805,6052.88474599,2166.76285277,98.2433,99.2987,5.30575,0.203735,7
23501901,11,17.1663,14.2461,1.76489,48,1055.8546805,6052.88474599,2166.76285277,98.2433,99.2987,5.30575,0.203735,7
23501901,12,17.1663,14.2461,1.76489,48,1055.8546805,6052.88474599,2166.76285277,98.2433,99.2987,5.30575,0.203735,7
23501901,13,17.1663,14.2461,1.76489,48,1055.8546805,6052.88474599,2166.76285277,98.2433,99.2987,5.30575,0.203735,7
23501901,14,17.1663,14.2461,1.79447,47,1055.8546805,6075.08613472,2186.17979079,98.2433,99.2987,5.24387,0.23338,6
23501901,15,17.1663,14.2461,1.79447,47,1055.8546805,6075.08613472,2186.17979079,98.2433,99.2987,5.24387,0.23338,6
23501901,16,17.1663,14.2461,1.79447,47,1055.8546805,6075.08613472,2186.17979079,98.2433,99.2987,5.24387,0.23338,6
23588091,1,7.23128,9.63407,0.852885,9,247.4488974,765.047983867,429.469457999,80.5466,96.3198,5.00087,0.10731,5
23588091,2,12.5355,21.6173,1.17922,15,251.9053926,1201.65004769,658.315770083,46.127,92.0733,5.02833,0.10947,6
23588091,3,7.46466,11.0427,1.15768,17,248.5530141,1268.7568449,670.398014475,46.6896,67.1759,5.00049,0.039865,5
23588091,4,12.6496,9.7089,1.00574,24,248.0281973,1771.6973367,1010.07905252,62.7341,83.2065,5.0338,0.11403,6
23588091,5,6.55726,8.17614,1.00839,30,254.4827768,2156.16371601,1240.0353075,46.6293,66.0715,5.02828,0.11225,6
23588091,6,6.55726,8.17614,0.991417,31,254.4827768,2156.16371601,1240.0353075,46.6293,66.0715,5.02828,0.11225,6
23588091,7,7.14454,8.48701,1.01771,33,254.4827768,2395.85021713,1433.18489165,46.6293,66.0715,5.02828,0.11225,6
23588091,8,7.30409,9.1263,1.01608,36,250.95583,2795.19654569,1755.13088754,62.4776,82.6481,5.03258,0.11529,6
23588091,9,7.30409,9.1263,1.01608,36,250.95583,2795.19654569,1755.13088754,62.4776,82.6481,5.03258,0.11529,6
23588091,10,6.70537,8.30087,1.2358,41,252.4001881,3130.27514614,2237.47781042,46.639,66.5682,5.0313,0.114835,6
23588091,11,6.70537,8.30087,1.23179,43,252.4001881,3130.27514614,2237.47781042,46.639,66.5682,5.05643,0.1139,5
23588091,12,6.70537,8.30087,1.23179,43,252.4001881,3130.27514614,2237.47781042,46.639,66.5682,5.05643,0.1139,5
23588091,13,6.70537,8.30087,1.23179,43,252.4001881,3130.27514614,2237.47781042,46.639,66.5682,5.05643,0.1139,5
23588091,14,6.70537,8.30087,1.23179,43,252.4001881,3130.27514614,2237.47781042,46.639,66.5682,5.05643,0.1139,5
23588091,15,6.70537,8.30087,1.23179,43,252.4001881,3130.27514614,2237.47781042,46.639,66.5682,5.05643,0.1139,5
23588091,16,7.17191,8.60395,1.19167,44,250.4465798,3531.26754232,2684.29056273,46.2785,66.437,5.03234,0.11436,6
23590911,1,31.1407,8.91045,1.03182,8,164.3021273,869.986279787,491.345903971,106.415,191.03,5.32404,0.093765,8
23590911,2,6.20932,8.46714,1.83365,16,203.6934086,1278.52363551,656.094140101,121.407,157.55,5.32475,0.075815,8
